nome_mun,pop2017,muni_code
Concei\u00e7\u00e3o do Araguaia,46571,1502707
Conc\u00f3rdia do Par\u00e1,32395,1502756
Cumaru do Norte,13093,1502764
Curion\u00f3polis,17453,1502772
Curralinho,33490,1502806
Curu\u00e1,13996,1502855
Curu\u00e7\u00e1,38959,1502905
Dom Eliseu,58071,1502939
Eldorado do Caraj\u00e1s,32892,1502954
Faro,7009,1503002
Floresta do Araguaia,19746,1503044
Garraf\u00e3o do Norte,25363,1503077
Goian\u00e9sia do Par\u00e1,39352,1503093
Gurup\u00e1,32458,1503101
Igarap\u00e9-A\u00e7u,37753,1503200
Igarap\u00e9-Miri,60994,1503309
Inhangapi,11388,1503408
Ipixuna do Par\u00e1,62237,1503457
Irituia,31673,1503507
Itaituba,98523,1503606
Itupiranga,51835,1503705
Jacareacanga,8059,1503754
Jacund\u00e1,57526,1503804
Juruti,56325,1503903
Limoeiro do Ajuru,28138,1504000
M\u00e3e do Rio,29260,1504059
Magalh\u00e3es Barata,8316,1504109
Marab\u00e1,271594,1504208
Maracan\u00e3,28679,1504307
Marapanim,27569,1504406
Marituba,127858,1504422
Medicil\u00e2ndia,30726,1504455
Melga\u00e7o,26897,1504505
Mocajuba,30277,1504604
Moju,79825,1504703
Moju\u00ed dos Campos,15646,1504752
Monte Alegre,56466,1504802
Muan\u00e1,39231,1504901
Nova Esperan\u00e7a do Piri\u00e1,20789,1504950
Nova Ipixuna,16221,1504976
Nova Timboteua,14942,1505007
Novo Progresso,25071,1505031
Novo Repartimento,73802,1505064
\u00d3bidos,50727,1505106
Oeiras do Par\u00e1,31619,1505205
Oriximin\u00e1,71078,1505304
Our\u00e9m,17356,1505403
Ouril\u00e2ndia do Norte,31921,1505437
Pacaj\u00e1,46383,1505486
Palestina do Par\u00e1,7386,1505494
Paragominas,110026,1505502
Parauapebas,202356,1505536
Pau D\'Arco,5341,1505551
Peixe-Boi,7860,1505601
Pi\u00e7arra,12632,1505635
Placas,30109,1505650
Ponta de Pedras,30219,1505700
Portel,60322,1505809
Porto de Moz,39991,1505908
Prainha,29067,1506005
Primavera,10534,1506104
Quatipuru,13237,1506112
Reden\u00e7\u00e3o,82464,1506138
Rio Maria,17705,1506161
Rondon do Par\u00e1,50925,1506187
Rur\u00f3polis,49093,1506195
Salin\u00f3polis,39569,1506203
Salvaterra,23096,1506302
Santa B\u00e1rbara do Par\u00e1,20492,1506351
Santa Cruz do Arari,9845,1506401
Santa Izabel do Par\u00e1,68836,1506500
Santa Luzia do Par\u00e1,19316,1506559
Santa Maria das Barreiras,20849,1506583
Santa Maria do Par\u00e1,24186,1506609
Santana do Araguaia,70764,1506708
Santar\u00e9m,296302,1506807
Santar\u00e9m Novo,6526,1506906
Santo Ant\u00f4nio do Tau\u00e1,30611,1507003
